Symbol,RSI,Days,AR,MD
VCR,82,12,9.835438096,2.754423555
VCR,82,13,8.316593117,2.754397298
VCR,82,14,7.961227299,2.754390983
VCR,82,15,7.509588061,1.391688386
VCR,82,16,6.257294013,1.391642465
VCR,82,17,5.440632974,1.391642465
VCR,82,18,5.542752379,1.391704421
VCR,82,19,5.27282173,1.391626549
VCR,82,20,3.911965738,1.391582798
VCR,83,5,4.447961022,60.99082698
VCR,83,6,11.68538947,25.70635716
VCR,83,7,13.0800069,17.60411307
VCR,83,8,16.03145297,9.165076255
VCR,83,9,15.82213386,4.878485805
VCR,83,10,12.39474833,2.754387068
VCR,83,11,10.13330064,2.754399635
VCR,83,12,8.776757614,2.754423786
VCR,83,13,7.967444172,2.699295148
VCR,83,14,7.687391505,1.391688386
VCR,83,15,6.257118577,1.391658528
VCR,83,16,5.439013849,1.391642465
VCR,83,17,5.620222661,0.388588589
VCR,83,18,3.712012782,0.388504199
VCR,83,19,3.71310481,0.388504199
VCR,83,20,3.715864755,0.388419457
VCR,84,5,6.151748738,66.17166926
VCR,84,6,13.60549006,17.77262711
VCR,84,7,16.33997224,9.165076255
VCR,84,8,15.72370505,6.538919974
VCR,84,9,14.4223187,4.878488205
VCR,84,10,10.24950008,2.754350336
VCR,84,11,9.175216698,2.754423555
VCR,84,12,8.04759437,2.699387317
VCR,84,13,7.765716749,1.361368753
VCR,84,14,5.856319456,1.376809499
VCR,84,15,5.244606801,1.344306067
VCR,84,16,5.07223285,0.388588589
VCR,84,17,3.709259897,0.388588589
VCR,84,18,3.712012782,0.388504199
VCR,84,19,2.381383337,0.388504199
VCR,84,20,1.534985284,0.388419457
VCR,85,5,10.72751771,41.77191372
VCR,85,6,14.49126952,14.43777073
VCR,85,7,14.99154643,6.538919974
VCR,85,8,14.31476622,4.878539016
VCR,85,9,11.35756804,2.754387068
VCR,85,10,9.920818681,2.754412244
VCR,85,11,7.805610628,2.699307469
VCR,85,12,7.720369948,2.699387317
VCR,85,13,5.857135711,1.344300485
VCR,85,14,5.243048356,1.344306067
VCR,85,15,4.084528208,0.388504199
VCR,85,16,2.377662017,0.388588589
VCR,85,17,2.378354105,0.388588589
VCR,85,18,1.291539116,0.388504199
VCR,85,19,1.291916211,0.388504199
VCR,85,20,1.293915348,0.388419457
VCR,86,5,11.4949565,21.30526357
VCR,86,6,13.22391743,14.25646281
VCR,86,7,15.16313652,6.559235882
VCR,86,8,11.87657192,4.87847273
VCR,86,9,10.0987428,2.754350336
VCR,86,10,8.421380001,2.699222301
VCR,86,11,7.774424834,2.699387317
VCR,86,12,5.036547837,1.344300485
VCR,86,13,4.500232914,1.344300485
VCR,86,14,3.723681976,0.388504199
VCR,86,15,2.135876871,0.388504199
VCR,86,16,1.289171549,0.388588589
VCR,86,17,1.28954773,0.388588589
VCR,86,18,1.291539116,0.388504199
VCR,86,19,1.291916211,0.388504199
VCR,86,20,1.293915348,0.388419457
VCR,87,5,14.38947882,17.38640741
VCR,87,6,15.86289913,6.538919974
VCR,87,7,13.35137582,6.559235882
VCR,87,8,10.93950842,4.172024858
VCR,87,9,7.784659711,2.699359463
VCR,87,10,6.766276076,2.66716797
VCR,87,11,4.868799538,1.344300485
VCR,87,12,4.251370672,1.344300485
VCR,87,13,3.475169012,0.388588589
VCR,87,14,1.290032935,0.388504199
VCR,87,15,1.290415356,0.388504199
VCR,87,16,1.289171549,0.388588589
VCR,87,17,1.28954773,0.388588589
VCR,87,18,1.291539116,0.388504199
VCR,87,19,1.291916211,0.388504199
VCR,87,20,1.293915348,0.388419457
VCR,88,5,12.48475669,13.64831986
VCR,88,6,14.7872974,6.559235882
VCR,88,7,10.55830593,4.87847273
VCR,88,8,8.245310063,2.699239438
VCR,88,9,7.051978904,2.667180954
VCR,88,10,5.38069655,1.328807499
VCR,88,11,4.250114388,1.344300485
VCR,88,12,3.377432897,1.344300485
VCR,88,13,1.288044322,0.388588589
VCR,88,14,1.290032935,0.388504199
VCR,88,15,1.290415356,0.388504199
VCR,88,16,1.289171549,0.388588589
VCR,88,17,1.28954773,0.388588589
VCR,88,18,1.291539116,0.388504199
VCR,88,19,1.291916211,0.388504199
VCR,88,20,1.293915348,0.388419457
VCR,89,5,13.01630102,9.340039117
VCR,89,6,10.65525482,6.579651867
VCR,89,7,9.235393933,4.172024858
VCR,89,8,7.051978904,2.667180954
VCR,89,9,5.60166227,2.66716797
VCR,89,10,4.424921625,1.344306067
VCR,89,11,3.122727754,1.278381893
VCR,89,12,1.287669017,0.388588589
VCR,89,13,1.288044322,0.388588589
VCR,89,14,1.290032935,0.388504199
VCR,89,15,1.290415356,0.388504199
VCR,89,16,1.289171549,0.388588589
VCR,89,17,1.28954773,0.388588589
VCR,89,18,1.291539116,0.388504199
VCR,89,19,1.291916211,0.388504199
VCR,89,20,1.293915348,0.388419457
VCR,90,5,13.69696852,6.559235882
VCR,90,6,9.337302656,9.412949923
VCR,90,7,7.635623671,2.667144507
VCR,90,8,6.250953483,2.667180954
VCR,90,9,4.748945017,1.344306067
VCR,90,10,3.388797704,1.278302164
VCR,90,11,1.287293931,0.388588589
VCR,90,12,1.287669017,0.388588589
VCR,90,13,1.288044322,0.388588589
VCR,90,14,1.290032935,0.388504199
VCR,90,15,1.290415356,0.388504199
VCR,90,16,1.289171549,0.388588589
VCR,90,17,1.28954773,0.388588589
VCR,90,18,1.291539116,0.388504199
VCR,90,19,1.291916211,0.388504199
VCR,90,20,1.293915348,0.388419457
TQQQ,60,5,-36.55486043,99.94921322
TQQQ,60,6,-30.68603672,99.81903326
TQQQ,60,7,-28.44633087,99.73535736
TQQQ,60,8,-31.9827088,99.77248231
TQQQ,60,9,-28.5653178,99.62002425
TQQQ,60,10,-22.06540379,98.97000309
TQQQ,60,11,-16.8468334,98.08458238
TQQQ,60,12,-12.05988412,97.65007542
TQQQ,60,13,-13.16578761,97.13997717
TQQQ,60,14,-13.20623785,96.96616328
TQQQ,60,15,-11.5176114,97.01460334
TQQQ,60,16,-7.893851509,94.685195
TQQQ,60,17,-0.731210323,92.94948194
TQQQ,60,18,-3.613576777,92.78369264
TQQQ,60,19,-1.429647332,88.06200602
TQQQ,60,20,-0.283555948,87.8705041
TQQQ,61,5,-29.32331745,99.77443075
TQQQ,61,6,-28.90798216,99.76032773
TQQQ,61,7,-30.86775123,99.8111207
TQQQ,61,8,-26.553286,99.30934886
TQQQ,61,9,-23.15313796,99.14882688
TQQQ,61,10,-19.3937821,98.92868995
TQQQ,61,11,-10.36005291,97.20126611
TQQQ,61,12,-10.28458408,96.62332949
TQQQ,61,13,-10.35162176,96.17337993
TQQQ,61,14,-3.875572428,94.58689253
TQQQ,61,15,-2.301985452,93.89146284
TQQQ,61,16,-1.455859894,94.47296983
TQQQ,61,17,-1.713743662,92.33853218
TQQQ,61,18,1.610729425,89.08579863
TQQQ,61,19,1.207639244,90.07693089
TQQQ,61,20,0.131314965,88.75559299
TQQQ,62,5,-27.64346493,99.69648915
TQQQ,62,6,-30.12708052,99.82467517
TQQQ,62,7,-25.29814258,99.42694807
TQQQ,62,8,-23.89947139,99.06239819
TQQQ,62,9,-22.70956234,98.65186131
TQQQ,62,10,-11.70274762,96.83128932
TQQQ,62,11,-16.16797149,97.65172444
TQQQ,62,12,-15.53049908,97.29632786
TQQQ,62,13,-9.267863025,94.89648549
TQQQ,62,14,-1.893971914,93.7953909
TQQQ,62,15,1.725047134,93.18760192
TQQQ,62,16,1.035314071,90.65400693
TQQQ,62,17,5.156616021,89.1740494
TQQQ,62,18,5.234725405,89.41561704
TQQQ,62,19,5.901111618,85.68628141
TQQQ,62,20,4.481210256,84.08605534
TQQQ,63,5,-26.14767619,99.62283463
TQQQ,63,6,-23.662048,99.35391019
TQQQ,63,7,-26.81360239,99.49055525
TQQQ,63,8,-18.92787727,98.14568227
TQQQ,63,9,-14.7722599,97.45247676
TQQQ,63,10,-12.26730234,96.45390135
TQQQ,63,11,-10.77369488,96.52067793
TQQQ,63,12,-7.672404668,93.55276383
TQQQ,63,13,-4.115119838,92.77680454
TQQQ,63,14,-0.711522667,90.64418595
TQQQ,63,15,-5.257710191,92.17528718
TQQQ,63,16,-2.914345878,90.97303209
TQQQ,63,17,4.572996819,88.41812934
TQQQ,63,18,7.110011511,85.86687643
TQQQ,63,19,8.869623099,80.85321555
TQQQ,63,20,3.996401835,86.32300784
TQQQ,64,5,-21.23031494,99.04398206
TQQQ,64,6,-23.19979663,99.07209197
TQQQ,64,7,-22.44944882,98.49363108
TQQQ,64,8,-18.2753177,98.11632554
TQQQ,64,9,-12.92316708,97.0143124
TQQQ,64,10,-10.71782155,97.09332336
TQQQ,64,11,-10.49685268,95.82742743
TQQQ,64,12,-5.568688374,94.09948563
TQQQ,64,13,-5.545223265,95.9220411
TQQQ,64,14,-1.18220669,92.53290213
TQQQ,64,15,-0.189955344,89.64399394
TQQQ,64,16,3.091105413,84.98544137
TQQQ,64,17,8.575008761,80.26671332
TQQQ,64,18,9.151742104,79.78255308
TQQQ,64,19,8.133605855,79.16741692
TQQQ,64,20,10.86149012,70.67903217
TQQQ,65,5,-18.22531901,98.37935491
TQQQ,65,6,-21.29781667,98.4296068
TQQQ,65,7,-16.04007324,97.32584514
TQQQ,65,8,-12.45384453,96.71107502
TQQQ,65,9,-9.340951824,96.87441258
