Symbol,Days,RSI,AR,MD ,Calmar
IOO,10,77,9.59%,9.94%,1
USCI,8,73,9.58%,41.43%,0.2
TQQQ,13,73,9.57%,31.02%,0.3
SPLV,6,74,9.56%,37.11%,0.3
GNMA,5,85,9.56%,21.47%,0.4
FDL,6,81,9.55%,18.64%,0.5
USCI,15,65,9.55%,36.54%,0.3
FXE,13,71,9.54%,18.91%,0.5
GNMA,13,69,9.54%,38.40%,0.2
TQQQ,14,78,9.53%,5.12%,1.9
TQQQ,15,74,9.52%,31.11%,0.3
USCI,6,76,9.52%,44.15%,0.2
PHDG,13,71,9.52%,30.42%,0.3
IDLV,11,73,9.52%,6.38%,1.5
TQQQ,6,83,9.52%,22.85%,0.4
TQQQ,4,90,9.51%,16.26%,0.6
GNMA,10,79,9.51%,18.12%,0.5
SPLV,10,73,9.50%,34.60%,0.3
IOO,12,67,9.49%,26.55%,0.4
FDL,9,78,9.49%,17.33%,0.5
SPLV,5,71,9.49%,50.39%,0.2
USCI,15,69,9.49%,24.75%,0.4
DHS,14,70,9.49%,26.95%,0.4
SPLV,4,74,9.48%,54.22%,0.2
USCI,14,69,9.48%,26.49%,0.4
SPHD,5,80,9.47%,25.53%,0.4
USCI,6,72,9.47%,42.52%,0.2
TQQQ,4,92,9.46%,12.11%,0.8
USCI,7,71,9.46%,44.72%,0.2
FDL,10,78,9.45%,17.33%,0.5
FXE,6,76,9.44%,29.80%,0.3
SPHD,11,71,9.42%,30.19%,0.3
IOO,6,84,9.42%,11.75%,0.8
USCI,9,72,9.42%,38.01%,0.2
TQQQ,10,76,9.42%,27.32%,0.3
FDL,15,69,9.41%,26.38%,0.4
DTH,7,75,9.41%,20.38%,0.5
TQQQ,3,93,9.41%,25.91%,0.4
FXE,7,74,9.41%,26.63%,0.4
FDL,6,80,9.41%,20.14%,0.5
PHDG,7,81,9.40%,14.93%,0.6
SPHD,6,76,9.39%,29.68%,0.3
TQQQ,6,84,9.39%,16.11%,0.6
DHS,8,75,9.38%,25.06%,0.4
SPTI,12,73,9.38%,41.09%,0.2
TQQQ,13,79,9.37%,4.51%,2.1
SPLV,4,75,9.37%,52.77%,0.2
GNMA,10,78,9.37%,25.74%,0.4
SPHD,7,74,9.36%,32.66%,0.3
IOO,7,69,9.36%,35.91%,0.3
IDLV,15,70,9.36%,6.38%,1.5
PHDG,11,73,9.36%,37.87%,0.2
FDL,10,76,9.34%,19.87%,0.5
IOO,12,66,9.32%,40.30%,0.2
TQQQ,3,94,9.32%,16.03%,0.6
SPLV,13,71,9.32%,34.63%,0.3
FDL,6,86,9.30%,8.96%,1
SPLV,9,69,9.30%,37.99%,0.2
SPLV,8,71,9.29%,38.23%,0.2
DTH,8,71,9.29%,33.92%,0.3
GNMA,4,86,9.28%,28.93%,0.3
FDL,8,74,9.28%,25.34%,0.4
FDL,13,73,9.28%,20.20%,0.5
TQQQ,6,82,9.28%,22.92%,0.4
IOO,5,86,9.28%,13.43%,0.7
IOO,8,80,9.28%,9.62%,1
SPLV,15,67,9.27%,39.03%,0.2
GNMA,4,85,9.26%,27.44%,0.3
SPLV,13,67,9.24%,34.00%,0.3
FXE,14,68,9.24%,20.28%,0.5
RSPT,10,75,9.24%,16.72%,0.6
PHDG,7,79,9.23%,22.43%,0.4
TQQQ,12,80,9.22%,4.51%,2
SPLV,14,67,9.22%,36.43%,0.3
IDLV,12,72,9.22%,6.38%,1.4
TQQQ,4,84,9.22%,47.13%,0.2
SPTI,8,79,9.22%,28.33%,0.3
BIV,6,82,9.22%,29.37%,0.3
FDL,11,77,9.21%,8.96%,1
TQQQ,15,77,9.20%,11.19%,0.8
FDL,6,79,9.19%,25.02%,0.4
SPLV,6,68,9.18%,50.03%,0.2
FXE,8,74,9.18%,22.57%,0.4
SPHD,10,71,9.18%,32.76%,0.3
RSPT,9,81,9.17%,4.40%,2.1
IOO,8,82,9.17%,4.62%,2
USCI,15,70,9.16%,21.08%,0.4
FDL,6,83,9.16%,20.70%,0.4
SPTI,7,78,9.16%,36.82%,0.2
PHDG,6,80,9.16%,24.66%,0.4
