Days,RSI,Symbol,AR,MD,Source
4,80,AIVI,0.021376442,57.38015785,Does this work? 
4,81,AIVI,-0.847308367,50.75558246,Does this work? 
4,82,AIVI,2.320658202,42.30563633,Does this work? 
4,83,AIVI,4.141603095,31.12857166,Does this work? 
4,84,AIVI,2.617150161,31.3520726,Does this work? 
4,85,AIVI,4.583513215,27.75685868,Does this work? 
4,86,AIVI,3.469854911,30.84889943,Does this work? 
4,87,AIVI,3.321358675,27.4428388,Does this work? 
4,88,AIVI,1.15627523,34.5150444,Does this work? 
4,89,AIVI,0.836358454,29.14495305,Does this work? 
4,90,AIVI,2.213379092,21.59359651,Does this work? 
4,91,AIVI,1.703574039,16.32895699,Does this work? 
4,92,AIVI,0.266401708,15.18607252,Does this work? 
4,93,AIVI,0.310100597,14.7208142,Does this work? 
4,94,AIVI,0.455631019,6.645199295,Does this work? 
4,95,AIVI,0.678231469,4.250801703,Does this work? 
3,65,AIVI,-25.31797994,98.9282413,Does this work? 
3,66,AIVI,-22.9784404,98.48300244,Does this work? 
3,67,AIVI,-21.2185463,98.0119535,Does this work? 
3,68,AIVI,-18.65942645,96.78142779,Does this work? 
3,69,AIVI,-15.37105704,94.69110618,Does this work? 
3,70,AIVI,-14.16054133,94.77155844,Does this work? 
3,71,AIVI,-12.8090354,93.29116131,Does this work? 
3,72,AIVI,-11.33471562,91.47159184,Does this work? 
3,73,AIVI,-10.74726186,89.5232706,Does this work? 
3,74,AIVI,-8.302870402,86.0649531,Does this work? 
3,75,AIVI,-7.189589421,84.66139538,Does this work? 
3,76,AIVI,-4.898708593,77.80536444,Does this work? 
3,77,AIVI,-5.912836189,78.35073779,Does this work? 
3,78,AIVI,-5.883865633,78.09991617,Does this work? 
3,79,AIVI,-3.62509008,72.53080386,Does this work? 
3,80,AIVI,-3.996512778,72.11220576,Does this work? 
3,81,AIVI,-4.160888092,63.75465531,Does this work? 
3,82,AIVI,-0.445193877,49.59401623,Does this work? 
3,83,AIVI,1.989803026,49.80121431,Does this work? 
3,84,AIVI,2.121862247,59.5611102,Does this work? 
3,85,AIVI,-1.454357415,59.66806408,Does this work? 
3,86,AIVI,-1.285852226,59.24623469,Does this work? 
3,87,AIVI,-1.82785273,56.87118579,Does this work? 
3,88,AIVI,0.272329343,51.91199354,Does this work? 
3,89,AIVI,-0.141167632,40.85796881,Does this work? 
3,90,AIVI,1.99092869,37.05548717,Does this work? 
3,91,AIVI,-0.765988114,37.03822548,Does this work? 
3,92,AIVI,-0.220930084,38.52080983,Does this work? 
3,93,AIVI,0.783227977,32.47655613,Does this work? 
3,94,AIVI,0.660071731,30.99740384,Does this work? 
3,95,AIVI,0.536323764,28.88161811,Does this work? 
2,65,AIVI,-24.42670356,99.29903477,Does this work? 
2,66,AIVI,-24.03748012,99.24623014,Does this work? 
2,67,AIVI,-24.75473389,99.17770561,Does this work? 
2,68,AIVI,-23.76627575,99.00715924,Does this work? 
2,69,AIVI,-23.3991522,98.7924061,Does this work? 
2,70,AIVI,-23.70749789,98.86627457,Does this work? 
2,71,AIVI,-22.25916142,98.68077359,Does this work? 
2,72,AIVI,-21.89626652,98.645533,Does this work? 
2,73,AIVI,-21.10958298,98.40767606,Does this work? 
2,74,AIVI,-19.99704626,98.14839761,Does this work? 
2,75,AIVI,-18.90886948,98.00314838,Does this work? 
2,76,AIVI,-17.84507219,97.13815125,Does this work? 
2,77,AIVI,-16.19987175,95.14743028,Does this work? 
2,78,AIVI,-15.58479524,94.92555666,Does this work? 
2,79,AIVI,-15.46699722,94.74161591,Does this work? 
2,80,AIVI,-17.28438691,95.98261627,Does this work? 
2,81,AIVI,-15.78761893,94.67400436,Does this work? 
2,82,AIVI,-14.19321011,93.77774166,Does this work? 
2,83,AIVI,-12.54642189,92.13965668,Does this work? 
2,84,AIVI,-9.647883839,88.0762525,Does this work? 
2,85,AIVI,-8.753817349,85.29109815,Does this work? 
2,86,AIVI,-7.078801645,81.61722123,Does this work? 
2,87,AIVI,-8.217827755,84.13163268,Does this work? 
2,88,AIVI,-2.737302218,65.9910156,Does this work? 
2,89,AIVI,-1.657692051,61.22152054,Does this work? 
2,90,AIVI,-1.184043844,61.95797409,Does this work? 
2,91,AIVI,-1.952190515,61.4429578,Does this work? 
2,92,AIVI,-3.919289187,73.37296852,Does this work? 
2,93,AIVI,-5.438824627,74.48518617,Does this work? 
2,94,AIVI,-1.989957087,63.23068969,Does this work? 
2,95,AIVI,-3.163675291,65.2239738,Does this work? 
15,65,AOR,8.187613339,48.32028717,Does this work? 
15,66,AOR,8.705327161,30.22056791,Does this work? 
15,67,AOR,7.193079258,26.72747385,Does this work? 
15,68,AOR,8.583431,20.11516247,Does this work? 
15,69,AOR,10.87418606,16.77173829,Does this work? 
15,70,AOR,8.088722648,17.39515775,Does this work? 
15,71,AOR,6.777905116,17.31100384,Does this work? 
15,72,AOR,7.302216021,11.98402112,Does this work? 
15,73,AOR,5.19519706,11.20688504,Does this work? 
15,74,AOR,5.282422972,9.083871603,Does this work? 
15,75,AOR,4.207129738,9.083846878,Does this work? 
15,76,AOR,2.719214487,9.083873471,Does this work? 
15,77,AOR,3.264840845,4.364986383,Does this work? 
15,78,AOR,3.51165239,1.703732212,Does this work? 
15,79,AOR,2.726631157,0.572196163,Does this work? 
15,80,AOR,2.325774734,0.572265505,Does this work? 
15,81,AOR,2.325774734,0.572265505,Does this work? 
15,82,AOR,1.403704218,0.431938208,Does this work? 
15,83,AOR,1.403704218,0.431938208,Does this work? 
15,84,AOR,1.216697318,0.431938208,Does this work? 
15,85,AOR,1.216697318,0.431938208,Does this work? 
15,86,AOR,1.216697318,0.431938208,Does this work? 
15,87,AOR,1.216697318,0.431938208,Does this work? 
15,88,AOR,1.216697318,0.431938208,Does this work? 
15,89,AOR,1.216697318,0.431938208,Does this work? 
15,90,AOR,1.216697318,0.431938208,Does this work? 
15,91,AOR,1.216697318,0.431938208,Does this work? 
15,92,AOR,1.216697318,0.431938208,Does this work? 
15,93,AOR,1.216697318,0.431938208,Does this work? 
15,94,AOR,1.216697318,0.431938208,Does this work? 
15,95,AOR,1.216697318,0.431938208,Does this work? 
14,65,AOR,6.328412851,56.65676039,Does this work? 
14,66,AOR,7.774267799,43.53726435,Does this work? 
14,67,AOR,7.294008426,28.36558887,Does this work? 
