Lookback (days),RSIs,symbol,AR (%),sharpe_ratio,MD ,calmer_ratio
6,84,GNMA,10.83%,0.6,16.01%,0.7
14,72,IOO,10.82%,0.9,9.43%,1.1
5,83,TQQQ,10.81%,0.7,28.25%,0.4
9,67,SPLV,10.81%,0.5,41.08%,0.3
14,70,FDL,10.81%,0.7,25.34%,0.4
8,78,TQQQ,10.80%,0.7,19.97%,0.5
15,69,PHDG,10.79%,0.6,36.59%,0.3
6,82,GNMA,10.79%,0.6,22.25%,0.5
12,67,SPLV,10.79%,0.5,38.62%,0.3
14,65,IOO,10.77%,0.6,39.74%,0.3
10,67,SPLV,10.77%,0.5,40.66%,0.3
9,77,FDL,10.76%,0.8,19.81%,0.5
9,73,FDL,10.75%,0.7,25.34%,0.4
9,77,TQQQ,10.75%,0.7,23.05%,0.5
4,78,IOO,10.75%,0.6,31.54%,0.3
6,77,USCI,10.73%,0.6,40.95%,0.3
9,79,GNMA,10.72%,0.6,16.01%,0.7
15,66,USCI,10.71%,0.6,28.50%,0.4
7,83,TQQQ,10.71%,0.8,13.02%,0.8
8,77,SPHD,10.70%,0.6,25.24%,0.4
4,89,IOO,10.69%,0.9,11.38%,0.9
14,70,SPHD,10.69%,0.6,42.05%,0.3
14,67,USCI,10.69%,0.6,30.89%,0.3
7,84,TQQQ,10.68%,0.8,13.04%,0.8
9,69,IOO,10.68%,0.6,24.85%,0.4
7,81,IOO,10.67%,0.8,9.62%,1.1
5,75,SPLV,10.66%,0.5,43.67%,0.2
13,74,PHDG,10.66%,0.8,9.82%,1.1
12,65,USCI,10.65%,0.5,40.44%,0.3
10,77,TQQQ,10.65%,0.8,17.85%,0.6
8,73,SPLV,10.64%,0.6,33.66%,0.3
7,82,TQQQ,10.64%,0.8,16.34%,0.7
15,73,SPHD,10.64%,0.7,9.72%,1.1
4,88,IOO,10.62%,0.9,12.20%,0.9
12,72,PHDG,10.62%,0.7,33.83%,0.3
9,72,SPHD,10.62%,0.5,27.48%,0.4
4,87,SPTI,10.60%,0.5,28.39%,0.4
14,68,FDL,10.60%,0.6,32.76%,0.3
8,68,IOO,10.59%,0.5,33.83%,0.3
11,66,SPLV,10.55%,0.5,44.37%,0.2
3,95,TQQQ,10.55%,0.8,16.13%,0.7
6,75,FXE,10.54%,0.6,33.71%,0.3
8,71,USCI,10.54%,0.5,39.04%,0.3
5,76,USCI,10.52%,0.5,40.11%,0.3
9,70,FXE,10.52%,0.5,32.87%,0.3
11,67,SPLV,10.45%,0.5,44.76%,0.2
7,82,GNMA,10.44%,0.6,16.01%,0.7
11,72,SPHD,10.44%,0.6,40.60%,0.3
6,78,DHS,10.43%,0.7,22.19%,0.5
12,71,SPLV,10.41%,0.6,34.80%,0.3
6,79,TQQQ,10.40%,0.7,25.74%,0.4
12,70,PHDG,10.39%,0.6,36.38%,0.3
6,72,SPLV,10.38%,0.5,43.26%,0.2
12,74,PHDG,10.36%,0.8,11.03%,0.9
14,73,IOO,10.35%,0.8,9.43%,1.1
13,68,USCI,10.33%,0.6,26.71%,0.4
9,71,SPLV,10.33%,0.5,32.09%,0.3
6,78,FDL,10.32%,0.6,29.46%,0.4
7,76,FDL,10.32%,0.6,30.47%,0.3
6,81,TQQQ,10.31%,0.7,18.64%,0.6
8,80,GNMA,10.31%,0.6,16.62%,0.6
14,69,PHDG,10.31%,0.6,37.98%,0.3
13,75,SPHD,10.30%,0.7,8.08%,1.3
14,71,PHDG,10.30%,0.7,22.41%,0.5
9,66,SPLV,10.29%,0.5,46.47%,0.2
7,76,SPHD,10.28%,0.5,27.63%,0.4
15,65,IOO,10.28%,0.6,39.49%,0.3
3,88,IOO,10.27%,0.7,23.83%,0.4
14,74,TQQQ,10.27%,0.7,29.82%,0.3
6,85,IOO,10.27%,0.9,5.97%,1.7
13,66,SPLV,10.27%,0.5,44.45%,0.2
13,72,PHDG,10.27%,0.7,22.41%,0.5
11,72,PHDG,10.24%,0.6,33.51%,0.3
15,68,USCI,10.24%,0.6,26.49%,0.4
10,74,PHDG,10.23%,0.6,35.69%,0.3
13,78,TQQQ,10.22%,1.1,11.19%,0.9
10,75,FDL,10.22%,0.8,24.39%,0.4
15,68,FXE,10.22%,0.6,20.28%,0.5
13,71,DHS,10.22%,0.7,27.40%,0.4
15,71,RSPT,10.21%,0.9,11.88%,0.9
9,76,PHDG,10.20%,0.7,21.23%,0.5
8,79,GNMA,10.20%,0.6,18.07%,0.6
12,74,IOO,10.20%,0.8,9.43%,1.1
13,71,RSPT,10.20%,0.8,16.83%,0.6
14,75,TQQQ,10.20%,0.8,24.32%,0.4
11,67,IOO,10.20%,0.5,34.76%,0.3
14,65,SPLV,10.19%,0.5,47.30%,0.2
6,75,USCI,10.18%,0.5,45.61%,0.2
5,86,BIV,10.17%,0.5,27.77%,0.4
6,78,TQQQ,10.17%,0.6,38.08%,0.3
6,74,USCI,10.16%,0.5,46.50%,0.2
11,68,DTH,10.16%,0.6,35.91%,0.3
13,69,USCI,10.16%,0.6,26.29%,0.4
14,65,USCI,10.16%,0.5,38.82%,0.3
7,79,TQQQ,10.15%,0.7,19.32%,0.5
9,78,IOO,10.15%,0.8,9.94%,1.0
7,78,FDL,10.15%,0.7,20.14%,0.5
13,75,TQQQ,10.13%,0.7,30.89%,0.3
15,67,FDL,10.12%,0.5,34.44%,0.3
15,72,IOO,10.12%,0.8,9.43%,1.1
7,68,SPLV,10.12%,0.5,48.74%,0.2
11,75,RSPT,10.12%,0.9,11.04%,0.9
9,66,USCI,10.11%,0.5,34.11%,0.3
6,69,SPLV,10.11%,0.5,46.74%,0.2
12,71,SPHD,10.11%,0.6,39.55%,0.3
8,69,SPLV,10.10%,0.5,37.93%,0.3
8,78,SPHD,10.10%,0.6,25.46%,0.4
9,65,SPLV,10.10%,0.5,48.46%,0.2
10,75,SPTI,10.09%,0.5,27.65%,0.4
7,80,FDL,10.09%,0.7,19.81%,0.5
9,79,IOO,10.06%,0.8,8.04%,1.3
14,77,TQQQ,10.05%,1.0,11.19%,0.9
4,91,TQQQ,10.05%,0.8,14.58%,0.7
15,71,PHDG,10.04%,0.7,14.12%,0.7
6,82,IOO,10.03%,0.8,11.62%,0.9
15,76,TQQQ,10.03%,1.0,11.19%,0.9
7,72,USCI,10.03%,0.5,47.80%,0.2
6,85,TQQQ,10.03%,0.8,14.02%,0.7
9,75,SPTI,10.02%,0.5,30.22%,0.3
12,72,RSPT,10.02%,0.8,18.22%,0.5
8,72,FXE,10.01%,0.5,24.85%,0.4
8,78,FDL,10.00%,0.7,19.81%,0.5
11,76,TQQQ,10.00%,0.7,24.32%,0.4
4,87,IOO,10.00%,0.8,12.20%,0.8
5,80,TQQQ,10.00%,0.6,41.38%,0.2
9,74,PHDG,9.99%,0.6,37.34%,0.3
7,78,TQQQ,9.98%,0.7,21.81%,0.5
10,65,USCI,9.98%,0.5,38.32%,0.3
4,86,TQQQ,9.97%,0.7,31.46%,0.3
13,69,FDL,9.97%,0.6,30.48%,0.3
13,74,TQQQ,9.97%,0.7,32.02%,0.3
7,80,SPTI,9.96%,0.5,24.02%,0.4
7,79,FDL,9.96%,0.7,18.33%,0.5
12,70,SPLV,9.96%,0.6,34.52%,0.3
12,71,PHDG,9.95%,0.6,34.61%,0.3
6,86,TQQQ,9.95%,0.8,16.13%,0.6
11,76,IOO,9.94%,0.8,10.90%,0.9
14,66,IOO,9.92%,0.6,31.67%,0.3
7,80,GNMA,9.92%,0.6,22.18%,0.4
10,73,PHDG,9.91%,0.6,37.45%,0.3
13,70,FDL,9.91%,0.6,25.34%,0.4
14,74,SPHD,9.90%,0.6,8.08%,1.2
7,76,SPLV,9.90%,0.6,22.37%,0.4
